套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1304,AP2,N2,1,6.0,28.29860114411301,22.29860114411301,0.0,3.0,6.0,6.0,6.0,6.0,8.309426000000006,36.60802714411302,0,1
A03S-1274,AP2,N5,2,12.0,37.93377497591521,25.933774975915213,6.0,14.0,17.0,17.0,12.0,12.0,73.45914047619047,111.39291545210568,0,1
A03S-1287,AP2,N2,3,28.29860114411301,62.97299689355172,34.674395749438716,22.29860114411301,25.29860114411301,28.29860114411301,28.29860114411301,23.0,28.29860114411301,13.267445158730169,76.24044205228189,1,1
A03S-1297,AP2,N5,4,37.93377497591521,75.02388212678606,37.09010715087085,36.60802714411301,44.60802714411301,47.60802714411301,47.60802714411301,29.0,37.93377497591521,69.19989435706562,144.22377648385168,1,1
A03S-1305,AP2,N2,5,62.97299689355172,101.25553999561043,38.28254310205871,51.97299689355172,59.97299689355172,62.97299689355172,62.97299689355172,47.60802714411302,62.97299689355172,38.166367460317446,139.42190745592788,0,1
A03S-1296,AP2,N2,6,101.25553999561043,143.20909014927437,41.95355015366394,90.25553999561043,98.25553999561043,101.25553999561043,101.25553999561043,92.29635433191426,101.25553999561043,84.74260912698392,227.9516992762583,1,1
A03S-1299,AP2,N5,7,115.13932502125148,160.84570618892363,45.70638116767215,109.13932502125148,112.13932502125148,115.13932502125148,115.13932502125148,115.13932502125148,115.13932502125148,96.57693452380946,257.4226407127331,0,1
A03S-1293,AP2,N2,8,143.20909014927437,186.86794456917775,43.65885441990338,132.20909014927437,140.20909014927437,143.20909014927437,143.20909014927437,139.42190745592788,143.20909014927437,77.81543946898532,264.68338403816307,0,1
A03S-1301,AP2,N5,9,160.84570618892363,210.9393943777341,50.09368818881046,149.84570618892363,157.84570618892363,160.84570618892363,160.84570618892363,145.42190745592788,160.84570618892363,50.233246334998995,261.1726407127331,1,1
A03S-1295,AP2,N2,10,227.9516992762583,275.927589400286,47.97589012402773,216.9516992762583,224.9516992762583,227.9516992762583,227.9516992762583,227.9516992762583,227.9516992762583,63.0865100793651,339.0140994796511,1,1
A03S-1288,AP2,N5,11,270.68338403816307,328.9995409052187,58.31615686705561,259.68338403816307,267.68338403816307,270.68338403816307,270.68338403816307,270.68338403816307,270.68338403816307,16.145447712658324,345.144988617877,0,1
